Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,73.269997,73.269997,72.050003,73.040001,58.644115,2359600
2016-01-05,73.209999,73.580002,72.360001,72.820000,58.467487,2277400
2016-01-06,72.250000,72.559998,71.470001,71.570000,57.463852,2894900
2016-01-07,70.500000,70.980003,70.199997,70.250000,56.404007,3636500
2016-01-08,71.000000,71.029999,69.940002,70.070000,56.259483,2616800
2016-01-11,70.320000,70.470001,69.860001,70.410004,56.532475,2293800
2016-01-12,70.879997,71.430000,70.040001,70.919998,56.941940,2765500
2016-01-13,71.300003,71.500000,69.059998,69.150002,55.520824,3209100
2016-01-14,69.300003,69.750000,68.000000,69.570000,55.858036,5310600
2016-01-15,68.070000,68.139999,66.570000,67.050003,53.834709,5710400
2016-01-18,66.510002,67.580002,66.510002,66.870003,53.690178,1543200
2016-01-19,67.779999,68.290001,67.099998,67.430000,54.139824,4896500
2016-01-20,66.639999,66.750000,64.949997,65.620003,52.686573,5653500
2016-01-21,66.080002,67.080002,65.629997,66.830002,53.658085,3894100
2016-01-22,67.500000,69.339996,67.040001,69.339996,56.339352,5199500
2016-01-25,69.129997,69.129997,66.940002,67.029999,54.462463,2805200
2016-01-26,67.410004,68.059998,66.839996,67.620003,54.941845,3391300
2016-01-27,67.690002,69.220001,67.519997,68.629997,55.762470,3167800
2016-01-28,69.500000,71.050003,68.809998,71.050003,57.728752,4410900
2016-01-29,71.440002,72.550003,70.220001,72.550003,58.947506,4558800
2016-02-01,71.699997,71.699997,70.830002,71.269997,57.907494,2071900
2016-02-02,70.139999,70.370003,69.449997,70.080002,56.940605,3009400
2016-02-03,70.410004,70.580002,68.970001,70.139999,56.989365,2866800
2016-02-04,70.089996,71.290001,70.010002,70.989998,57.680004,2882800
2016-02-05,70.739998,71.330002,70.500000,71.139999,57.801868,2257800
2016-02-08,70.360001,70.599998,68.930000,69.290001,56.298729,3986900
2016-02-09,68.209999,68.500000,66.680000,67.639999,54.958084,4707600
2016-02-10,68.250000,68.889999,66.000000,66.190002,53.779961,3279500
2016-02-11,65.300003,65.440002,64.519997,65.000000,52.813061,4645500
2016-02-12,66.160004,68.050003,66.000000,67.980003,55.234337,3090000
2016-02-16,69.080002,69.500000,67.959999,69.410004,56.396229,3423400
2016-02-17,69.949997,71.029999,69.639999,70.949997,57.647491,3198500
2016-02-18,71.300003,71.400002,70.339996,71.000000,57.688122,2579500
2016-02-19,70.129997,71.410004,69.680000,71.279999,57.915627,3163700
2016-02-22,71.870003,71.989998,70.349998,70.489998,57.273739,3320500
2016-02-23,71.870003,71.870003,69.430000,69.629997,56.574989,3128700
2016-02-24,68.199997,68.199997,65.550003,67.809998,55.096210,6441800
2016-02-25,68.000000,68.050003,67.349998,67.779999,55.071838,2879800
2016-02-26,68.470001,68.919998,67.860001,68.290001,55.486225,2179400
2016-02-29,68.610001,69.239998,68.260002,69.070000,56.119968,3048900
2016-03-01,69.739998,70.610001,69.720001,70.139999,56.989365,2980800
2016-03-02,69.900002,70.550003,69.059998,70.129997,56.981232,2886900
2016-03-03,70.459999,70.839996,70.050003,70.750000,57.484993,2459700
2016-03-04,70.949997,71.570000,70.500000,71.379997,57.996883,2916200
2016-03-07,71.070000,72.290001,70.989998,72.220001,58.679386,2790000
2016-03-08,71.860001,72.699997,71.779999,72.699997,59.069382,2933900
2016-03-09,72.919998,73.699997,72.800003,73.209999,59.483753,2937400
2016-03-10,73.730003,74.019997,72.760002,73.239998,59.508148,2693000
2016-03-11,73.949997,74.300003,73.370003,74.250000,60.328773,3073800
2016-03-14,73.959999,74.629997,73.820000,74.250000,60.328773,2235200
